id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugz0IGkAzfWnmIuhQeZ4AaABAg,0,0,"2025-03-14 04:33:30",@cyami5108,"Ugh I wished that the beauty of joseon sunscreen worked for me, but unfortunately it didn't. Once I had it on and the moment I step outside I just felt like it was melting off my face and unfortunately had to dap my face with a paper towel 🙃",UCCctNkF-qwPeCbd1uS8CoYg,http://www.youtube.com/@cyami5108,0,,
UgwGiJdZh68a64g8f3l4AaABAg,0,0,"2024-09-01 11:34:59",@bambiwolf116,"I love the isntree sunscreen but i use the gel formula one over the cream one i have dry sensitive skin thats overly reactive to scent acids and aloe vera also acne prone my whole face is just struggles these days red full of acne but im giving up cause no skincare product is helping or working and spent maybe way over 500 for past 3 years for nothing 😭😭😭",UCnQuFz2IJDmyYlGMnIfErZA,http://www.youtube.com/@bambiwolf116,0,,
UgwkY9UU1xjFuHBNf5V4AaABAg,0,1,"2024-08-25 00:55:40",@elizabethv2595,"My dad has skin cancer and struggles with applying sunscreen. I gave him a bottle of BOJ and he absolutely loves it. He told me “I don’t mind putting this stuff on my face it feels good.” So cute.",UCCKl_LmSNtg_vV68oqj9phA,http://www.youtube.com/@elizabethv2595,0,,
UgxOLIiH0UWW6x5CCzt4AaABAg,0,0,"2024-07-27 20:16:39",@mckenzie887,"thanks so much for this video💕💕",UCrB2vGOquHRsYx4HCJcFglw,http://www.youtube.com/@mckenzie887,0,,
UgzdCQVikBPEeuWdqmJ4AaABAg,0,3,"2024-06-09 20:12:06",@japandi7098,"Thank you, Hyram, for your incredibly informative video! Your recommendations always lead me to amazing products. I wanted to share my experience with red light therapy, specifically using a panel from Future Form Official, which my dermatologist suggested. I've been using it for the past six months, and it's truly transformed my skin's complexion and significantly reduced my wrinkles. The panel is surprisingly affordable, making it accessible for those of us looking for effective skincare without hefty costs. At 46, I often get mistaken for being much younger now, which feels fantastic. There are numerous scientific papers supporting the benefits of red light therapy, so it's great to see real results backed by science. Thanks again for all the valuable insights you provide!",UCeXdQ7DBfqXLyKT5XybFkGQ,http://www.youtube.com/@japandi7098,0,,
Ugyu85V8EJl2x5iyRrR4AaABAg,0,0,"2024-06-05 14:50:27",@kamm5280,"Hi Hyram, binging all your K beauty videos ❤ is it ok to put sunscreen sticks on your lips?",UCT6B-R6qclI2JzFDX6RDG0w,http://www.youtube.com/@kamm5280,0,,
Ugzuf2XyXrl3o_JOjpV4AaABAg,0,1,"2024-05-26 12:21:37",@faisaliqbal5722,"Thanks a lot",UCZ4xnNdJ7Ak1vRHW5QQVKag,http://www.youtube.com/@faisaliqbal5722,0,,
UgzDS-xQ9cTMib5PPxN4AaABAg,0,0,"2024-05-19 22:38:00",@musfirrahamjad9448,"Hii Hyram! Can you please please please review ""iUNIK Tea Tree Relief TONER""",UCiyPpy_1oYhBYxF9e-HPo3A,http://www.youtube.com/@musfirrahamjad9448,0,,
UgwH4a_PcjML5Wim5hx4AaABAg,0,0,"2024-05-03 02:46:41",@veesieu4561,"Love your video, thank you so much for all the infos! Because you really seem to love centella, I'm curious, what is your opinion on the Centella collection from SKIN1004? They have a whole line focused on Madagascar Centella ✨",UCtpUieQBAkDksoVwKwBVzrA,http://www.youtube.com/@veesieu4561,0,,
UgxuydqWDyW6ZbCvQQZ4AaABAg,0,0,"2024-04-26 20:31:42",@Johnkellly,"The numbuzin sunscreen changed my life. It’s absolutely incredible for my oily sensitive skin! Found my sunscreen for the rest of my life",UCts7Ylul5K_1LV8pnR_JcAg,http://www.youtube.com/@Johnkellly,0,,
