id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgxYFY_7gQ4kNKsU9TZ4AaABAg,0,0,"2025-06-08 04:28:03",@susanheron2305,"I would like a strong K retinal. Can you recommend? My thanks.",UCUTD0LHVHEUrW55iyQArqyg,http://www.youtube.com/@susanheron2305,0,,
Ugyg2fg9AvaqSCrGEOx4AaABAg,0,0,"2025-05-17 23:35:39",@nickoru1,"Stylevana is a scam!! I made an order a month ago and it still says “processing”!",UC-XE0E8Ms8zsXeoILJtcuyA,http://www.youtube.com/@nickoru1,0,,
Ugy7u3d4z2L-amG2teJ4AaABAg,0,0,"2025-04-13 06:46:45",@mjsong2914,"Anyone know where her sweater is from? I love how cozy it looks!",UCLPejoNrsT7QQreba3uauVg,http://www.youtube.com/@mjsong2914,0,,
UgyqvmH7bTZ-LqA8cfN4AaABAg,0,0,"2025-04-05 03:15:17",@yvettesuburban6397,"Please talk about Korean and Japanese beauty and do they incorporate the growth factor/stem cells and DNA? Recently I see salmon DNA, is that how they’re getting into DNA now? How about retinoids? I love their concept of slow and hydrating but what about for those of us who want a bit more?? 😮",UC6WKDcEbkuAIOgYgfzdvmMw,http://www.youtube.com/@yvettesuburban6397,0,,
UgzOo8ISsmt-tfvqm014AaABAg,0,1,"2025-03-24 16:06:15",@redpond77,"Trusted source of quality skin care always ❤ looking forward to your next upload soon! Hope you are doing well",UCYdqCvDInLMzLdjDz3E5iNA,http://www.youtube.com/@redpond77,0,,
UgxRnl-YBK_YCMY3XH94AaABAg,0,0,"2025-03-24 14:46:23",@donnadornbusch6738,"I’ve missed you",UCQ0gyI9Ve-G1aRiFbY1720Q,http://www.youtube.com/@donnadornbusch6738,0,,
UgwWY2KF8cvOSWgoW_J4AaABAg,0,0,"2025-03-21 23:37:06",@---do3wv,"Hi Renee, do you use a camera filter?",UCtZpI6daQYpTwD1smys6Rrw,http://www.youtube.com/@---do3wv,0,,
UgxoivDqwCrxil1z7eF4AaABAg,0,0,"2025-03-21 07:32:39",@kaseybeer4869,"Good but talk too fast.",UCHvT5CnLIlgU5sYVvk3VL8A,http://www.youtube.com/@kaseybeer4869,0,,
UgyedzJADQmV-VSE1El4AaABAg,0,1,"2025-03-14 09:40:53",@emilyheadey9099,"Oh my gosh these are all the underdogs I've either been enjoying or planning to buy!!! Totally agree with the body lotion, and I'm a little sensitive to niacinamide so I'm glad I tolerate it :) x",UCYREmhC6MGiUQq17byhAq-A,http://www.youtube.com/@emilyheadey9099,0,,
Ugw4mNDcqV2dwYLUM4p4AaABAg,0,0,"2025-03-09 07:55:25",@angelascott4073,"PLEASE Can you please do a video on Medicube Age R , Amiro and other RF devices I have the above but don’t like EMS , so you have recommendations please",UCm2rRAV2IQysn-Rq61mrRmg,http://www.youtube.com/@angelascott4073,0,,
